stock symbol,name,macro,sector,industry,basic_industry,total_shares
IKIO,IKIO TECHNOLOGIES LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,0.0
IMAGICAA,IMAGICAAWORLD ENT LTD,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,0.0
IMFA,INDIAN METALS & FERRO,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese,0.0
IMPAL,IND MOTOR PART & ACC LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Trading - Auto Components,0.0
INA,INSOLATION ENERGY LIMITED,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
INCREDIBLE,INCREDIBLE INDUSTRIES LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
INDBANK,INDBANK MERCH BANK,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
INDIAGLYCO,INDIA GLYCOLS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,0.0
AKSHOPTFBR,AKSH OPTIFIBRE LIMITED,Telecommunication,Telecommunication,Telecom - Equipment & Accessories,Telecom - Equipment & Accessories,0.0
051NSETEST,051NSETEST,,,,,0.0
RSSOFTWARE,R. S. SOFTWARE (INDIA) LI,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
071NSETEST,071NSETEST,,,,,0.0
INDIANCARD,INDIAN CARD CLOTHING CO.,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
INDIANHUME,INDIAN HUME PIPE CO. LTD.,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
INDIASHLTR,INDIA SHELTER FIN CORP L,Financial Services,Financial Services,Finance,Housing Finance Company,0.0
INDIGOPNTS,INDIGO PAINTS LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,0.0
