stock symbol,name,macro,sector,industry,basic_industry,total_shares
061NSETEST,061NSETEST,,,,,0.0
ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
ABGSEC,BIRLASLAMC - ABGSEC,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABINFRA,A B INFRABUILD LIMITED,Industrials,Construction,Construction,Civil Construction,0.0
ABSL10BANK,BIRLASLAMC - ABSL10BANK,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLBANETF,BIRLASLAMC - ABSLBANETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ABSLPSE,BIRLASLAMC-ABSLPSE,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ACCELYA,ACCELYA SOLN INDIA LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
ACEINTEG,ACE INTEGRATED SOLU. LTD.,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
ADFFOODS,ADF FOODS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,0.0
ADL,ARCHIDPLY DECOR LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,0.0
ADOR,ADOR WELDING LTD,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.0
ADROITINFO,ADROIT INFOTECH LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ADSL,ALLIED DIGITAL SERV. LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ADVAIT,ADVAIT ENRGY TRANSITION L,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
ADVANCE,ADVANCE AGROLIFE LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ADVENTHTL,ADVENT HOTELS INTERNATI L,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ADVENZYMES,ADVANCED ENZYME TECH LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,0.0
AEQUS,AEQUS LIMITED,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
AEROENTER,AEROFLEX ENTERPRISES LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
AEROFLEX,AEROFLEX INDUSTRIES LTD,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,0.0
171NSETEST,171NSETEST,,,,,0.0
AERONEU,AEROFLEX NEU LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
AETHER,AETHER INDUSTRIES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
AFSL,ABANS FINANCIAL SRVCS LTD,Financial Services,Financial Services,Finance,Holding Company,0.0
AGARIND,AGARWAL INDS CORP LTD.,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,0.0
AGARWALEYE,DR AGARWALS HEALTH CARE L,Healthcare,Healthcare,Healthcare Services,Hospital,0.0
AGI,AGI GREENPAC LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
AGIIL,AGI INFRA LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
AGRITECH,AGRI-TECH (INDIA) LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
AGROPHOS,AGRO PHOS INDIA LIMITED,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
AHCL,ANLON HEALTHCARE LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
AHLADA,AHLADA ENGINEERS LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,0.0
AHLEAST,ASIAN HOTELS (EAST) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
AHLUCONT,AHLUWALIA CONT IND LTD,Industrials,Construction,Construction,Civil Construction,0.0
AHLWEST,ASIAN HOTELS (WEST) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
AIRAN,AIRAN LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
AIROLAM,AIRO LAM LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,0.0
AJAXENGG,AJAX ENGINEERING LIMITED,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,0.0
AJMERA,AJMERA REALTY & INF I LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
AJOONI,AJOONI BIOTECH LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,0.0
AKASH,AKASH INFRA-PROJECTS LTD,Industrials,Construction,Construction,Civil Construction,0.0
AKG,AKG EXIM LIMITED,Services,Services,Commercial Services & Supplies,Trading & Distributors,0.0
AKI,AKI INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,0.0
AKSHAR,AKSHAR SPINTEX LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,0.0
AKUMS,AKUMS DRUGS AND PHARMA L,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
AKZOINDIA,AKZO NOBEL INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,0.0
ALANKIT,ALANKIT LIMITED,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
ALBERTDAVD,ALBERT DAVID LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
VLEGOV,VL E GOV AND IT SOL LTD,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
BAFNAPH,BAFNA PHARMACEUTICALS LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
111NSETEST,111NSETEST,,,,,0.0
SHANKARA,SHANKARA BLDG PRODUCT LTD,,,,,0.0
ALEMBICLTD,ALEMBIC LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ALGOQUANT,ALGOQUANT FINTECH LIMITED,Financial Services,Financial Services,Finance,Other Financial Services,0.0
ALICON,ALICON CASTALLOY LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
ALIVUS,ALIVUS LIFE SCIENCES LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ALKALI,ALKALI METALS LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
ALKYLAMINE,ALKYL AMINES CHEM. LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
ALLCARGO,ALLCARGO LOGISTICS LTD,Services,Services,Transport Services,Logistics Solution Provider,1497778444.0
ALLDIGI,ALLDIGI TECH LIMITED,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),0.0
ALLTIME,ALL TIME PLASTICS LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,0.0
ALMONDZ,ALMONDZ GLOBAL SEC LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
ALOKINDS,ALOK INDUSTRIES LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
ALPA,ALPA LABORATORIES LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ALPHA,KOTAKMAMC - KOTAKALPHA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ALPHAETF,MIRAEAMC - ALPHAETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,0.0
ALPL30IETF,ICICIPRAMC - ICICIALPLV,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AMAGI,AMAGI MEDIA LABS LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
AMANTA,AMANTA HEALTHCARE LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,0.0
AMBIKCO,AMBIKA COTTON MILL LTD.,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
AMDIND,AMD INDUSTRIES LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
AMIRCHAND,AMIR CHAND JAG KUM (E) L,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
AMJLAND,AMJ LAND HOLDINGS LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
AMNPLST,AMINES & PLASTICIZERS LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
AMRUTANJAN,AMRUTAJAN HEALTH LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ANDHRAPAP,ANDHRA PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
21STCENMGM,21ST CENTURY MGMT SERVICE,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services,0.0
G1NSETEST,G1NSETEST,,,,,0.0
VIKASECO,VIKAS ECOTECH LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
PRITI,PRITI INTERNATIONAL LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,0.0
ANDHRSUGAR,ANDHRA SUGARS LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,0.0
ANMOL,ANMOL INDIA LIMITED,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Trading - Coal,0.0
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,Energy,Oil Gas & Consumable Fuels,Oil,Oil Exploration & Production,0.0
ANTGRAPHIC,ANTARCTICA LTD,Industrials,Capital Goods,Industrial Products,Packaging,0.0
ANUHPHR,ANUH PHARMA LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ANUP,THE ANUP ENGINEERING LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
AONEGOLD,AONEAMC - AONEGOLD,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AONELIQUID,AONEAMC - AONELIQUID,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AONENIFTY,AONEAMC - AONENIFTY,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AONESILVER,AONEAMC - AONESILVER,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AONETMMQ50,AONEAMC - AONETMMQ50,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AONETOTAL,AONEAMC - AONETOTAL,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
APCL,ANJANI PORTLAND CEM LTD,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
APEX,APEX FROZEN FOODS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood,0.0
APLLTD,ALEMBIC PHARMA LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
APOLLO,APOLLO MICRO SYSTEMS LTD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
APOLLOPIPE,APOLLO PIPES LIMITED,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,0.0
APOLSINHOT,APOLLO SINDOORI HOTEL LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
APTECHT,APTECH LIMITED,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,0.0
AQYLON,AQYLON NEXUS LIMITED,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,0.0
ARCHIDPLY,ARCHIDPLY IND. LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,0.0
ARCHIES,ARCHIES LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Leisure Products,0.0
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,Industrials,Capital Goods,Industrial Products,Rubber,0.0
VITAL,VITAL CHEMTECH LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
ARENTERP,RAJDARSHAN INDUSTRIES LTD,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,0.0
ARFIN,ARFIN INDIA LIMITED,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,0.0
ARIES,ARIES AGRO LTD.,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,0.0
ARIHANTCAP,ARIHANT CAPITAL MKTS LTD,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
ARIHANTSUP,ARIHANT SUPERSTRUCT LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ARIS,ARISINFRA SOLUTIONS LTD,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,0.0
ARKADE,ARKADE DEVELOPERS LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ARMANFIN,ARMAN FIN SERV LTD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
AROGRANITE,ARO GRANITE IND. LTD.,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,0.0
ARROWGREEN,ARROW GREENTECH LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
ARSSBL,ANAND RATHI SH N STK BR L,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,0.0
ARTEMISMED,ARTEMIS MED SERVICE LTD,Healthcare,Healthcare,Healthcare Services,Hospital,0.0
ARVEE,ARVEE LABORATORIES I LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
ARVIND,ARVIND LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
ARVINDFASN,ARVIND FASHIONS LIMITED,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,0.0
ARVSMART,ARVIND SMARTSPACES LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ASAHISONG,ASAHI SONGWON COLOR LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,0.0
ASAL,AUTOMOTIVE STAMPINGS & AS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
ASALCBR,ASSO ALCOHOLS & BREW LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,0.0
ASHAPURMIN,ASHAPURA MINECHEM LTD,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,0.0
ASHIANA,ASHIANA HOUSING LTD,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ASHIMASYN,ASHIMA LTD,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
ASHOKA,ASHOKA BUILDCON LTD,Industrials,Construction,Construction,Civil Construction,0.0
ASHOKAMET,ASHOKA METCAST LIMITED,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,0.0
ASIANENE,ASIAN ENERGY SERVICES LTD,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,0.0
ASIANHOTNR,ASIAN HOTELS (NORTH) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
ASIANTILES,ASIAN GRANITO IND. LTD.,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,0.0
ASKAUTOLTD,ASK AUTOMOTIVE LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
ASMS,BARTRONICS INDIA LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
ASPINWALL,ASPINWALL & CO LTD,Services,Services,Transport Services,Logistics Solution Provider,7818288.0
ASTEC,ASTEC LIFESCIENCES LTD,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,0.0
ASTRAMICRO,ASTRA MICROWAVE LTD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
ASTRAZEN,ASTRAZENECA PHARMA IND LT,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
ATALREAL,ATAL REALTECH LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
ATAM,ATAM VALVES LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
ATL,ALLCARGO TERMINALS LTD,Services,Services,Transport Infrastructure,Port & Port services,291294799.0
ATLANTAA,ATLANTAA LIMITED,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity,82365999.0
ATLANTAELE,ATLANTA ELECTRICALS LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,76896620.0
ATLASCYCLE,ATLAS CYCLE (HARYANA) LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,0.0
ATULAUTO,ATUL AUTO LIMITED,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,0.0
AURIGROW,AURI GROW INDIA LIMITED,Industrials,Capital Goods,Industrial Products,Cables - Electricals,0.0
AURIONPRO,AURIONPRO SOLN LTD,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,0.0
AURUM,AURUM PROPTECH LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
AUTOAXLES,AUTOMOTIVE AXLES LIMITED,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
AUTOBEES,NIPPONAMC - NETFAUTO,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AUTOIETF,ICICIPRAMC - ICICIAUTO,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AUTOIND,AUTOLINE INDUSTRIES LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
AVADHSUGAR,AVADH SUG & ENERGY LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
AVALON,AVALON TECHNOLOGIES LTD,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,0.0
AVANTEL,AVANTEL LIMITED,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
AVANTIFEED,AVANTI FEEDS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,0.0
AVG,AVG LOGISTICS LIMITED,Services,Services,Transport Services,Logistics Solution Provider,15057719.0
AVL,ADITYA VISION LIMITED,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,0.0
AVONMORE,AVONMORE CAP&MGT SERV LTD,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
AVROIND,AVRO INDIA LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,0.0
AVTNPL,AVT NATURAL PRODUCTS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,0.0
AWFIS,AWFIS SPACE SOLUTIONS LTD,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0
AWHCL,ANTONY WASTE HDG CELL LTD,Utilities,Utilities,Other Utilities,Waste Management,0.0
AXISBNKETF,AXISAMC - AXISBNKETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISBPSETF,AXISAMC - AXISBPSETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISCADES,AXISCADES TECH LTD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,0.0
AXISCETF,AXISAMC - AXISCETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISGOLD,AXIS MF - AXIS GOLD ETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISHCETF,AXISAMC - AXISHCETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISILVER,AXISAMC - AXISILVER,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISNIFTY,AXISAMC - AXISNIFTY,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISTECETF,AXISAMC - AXISTECETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXISVALUE,AXISAMC - AXISVALUE,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AXITA,AXITA COTTON LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
AXSENSEX,AXISAMC - AXSENSEX,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
AYE,AYE FINANCE LIMITED,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
AYMSYNTEX,AYM SYNTEX LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
AZAD,AZAD ENGINEERING LIMITED,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,64581749.0
BAGFILMS,B.A.G FILMS AND MEDIA LTD,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,0.0
BAIDFIN,BAID FINSERV LIMITED,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),0.0
BAJAJCON,BAJAJ CONSUMER CARE LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,0.0
BAJAJELEC,BAJAJ ELECT.LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,0.0
BAJAJHCARE,BAJAJ HEALTHCARE LIMITED,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
BAJAJINDEF,INDEF MANUFACTURING LTD,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
BAJEL,BAJEL PROJECTS LIMITED,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,115696935.0
BALAJEE,SHREE TIRUPATI BALAJEE L,Industrials,Capital Goods,Industrial Products,Packaging,0.0
BALAJITELE,BALAJI TELEFILMS LIMITED.,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,0.0
BALAMINES,BALAJI AMINES LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
BALAXI,BALAXI PHARMA LTD,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
BALKRISHNA,BALKRISHNA PAPER MILLS L,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,0.0
BALMLAWRIE,BALMER LAWRIE & CO LTD,Diversified,Diversified,Diversified,Diversified,0.0
BALPHARMA,BAL PHARMA LTD.,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,0.0
BALUFORGE,BALU FORGE INDUSTRIES LTD,Industrials,Capital Goods,Industrial Products,Castings & Forgings,0.0
BANARBEADS,BANARAS BEADS LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
BANARISUG,BANNARI AMMAN SUGARS LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
BANCOINDIA,BANCO PRODUCTS (I) LTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,0.0
BANG,BANG OVERSEAS LTD.,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
BANK10ADD,DSPAMC - BANK10ADD,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKADD,DSPAMC - DSPBANK,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKBEES,NIP IND ETF BANK BEES,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKBETA,UTIAMC-BANKBETA,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKBETF,BFAM - BANKBETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKETF,MIRAEAMC - BANKETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKIETF,ICICIPRAMC - IPRU5008,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANKPSU,MIRAEAMC - BANKPSU,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BANSALWIRE,BANSAL WIRE INDUSTRIES L,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
BANSWRAS,BANSWARA SYNTEX LIMITED,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
BASF,BASF INDIA LTD,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
BASML,BANNARI AM SPIN MILL LTD.,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,0.0
BBETF0432,EDELAMC - BBETF0432,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BBL,BHARAT BIJLEE LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,11303119.0
BBNPNBETF,BARODABNP - BBNPNBETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BBNPPGOLD,BARODABNP - BBNPPGOLD,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
BBOX,BLACK BOX LIMITED,Information Technology,Information Technology,IT - Services,IT Enabled Services,0.0
BBTCL,B&B TRIPLEWALL CONT LTD,Industrials,Capital Goods,Industrial Products,Packaging,0.0
BCLIND,BCL INDUSTRIES LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,0.0
BCONCEPTS,BRAND CONCEPTS LIMITED,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,0.0
BCPL,BCPL RAILWAY INFRA LTD,Industrials,Construction,Construction,Civil Construction,0.0
BEARDSELL,BEARDSELL LIMITED,Industrials,Capital Goods,Industrial Products,Other Industrial Products,0.0
BECTORFOOD,MRS BECTORS FOOD SPE LTD,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,0.0
BELLACASA,BELLA CASA FASH AND RET L,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,0.0
121NSETEST,121NSETEST,,,,,0.0
BEPL,BHANSALI ENG. POLYMERS LT,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
