Date,Promoter,Public
2026-03-31,42.41,57.59
2025-12-31,42.41,57.59
2025-09-30,42.41,57.59
2025-06-30,42.41,57.59
2025-03-31,42.41,57.59
2024-12-31,42.41,57.59
2024-09-30,42.41,57.59
2024-06-30,42.41,57.59
2024-03-31,42.41,57.59
2023-12-31,42.41,57.59
2023-09-30,42.41,57.59
2023-06-30,42.41,57.59
2023-03-31,42.41,57.59
2023-03-13,42.41,57.59
2022-12-31,45.76,54.24
2022-09-30,45.76,54.24
2022-06-30,45.62,54.38
2022-03-31,45.62,54.38
2021-12-31,45.62,54.38
2021-12-24,45.62,54.38
