Date,Promoter,Public
2026-03-31,52.75,47.25
2025-12-31,52.75,47.25
2025-09-30,52.72,47.28
2025-06-30,52.72,47.28
2025-03-31,52.72,47.28
2024-12-31,52.72,47.28
2024-09-30,52.68,47.32
2024-06-30,52.68,47.32
2024-03-31,52.68,47.32
2023-12-31,52.68,47.32
2023-09-30,52.68,47.32
2023-06-30,52.68,47.32
